"","volgarch_verdadeira","volgarch_garch","volgarch_sv","volgarch_gas","volsv_verdadeira","volsv_garch","volsv_sv","volsv_gas","volgas_verdadeira","volgas_garch","volgas_sv","volgas_gas"
"1",-0.0337230462133927,0.0212989139094063,0.0222988047256435,0.00048892862451421,-0.00280089547478486,0.0166140880831682,0.0160593510987365,0.000272522183349223,0.0214897836928978,0.0347449239530712,0.0344014984122492,0.00141833361501936
"2",-0.00137109563100535,0.021320330027547,0.0216774582756916,0.000491396463550225,-0.000458202780808397,0.0192878456272731,0.0192398346365746,0.000400887479971826,-0.0313389970355792,0.0344300193476825,0.0335702883517549,0.00115631707372906
"3",0.0384304751778703,0.0446560912245074,0.0426517692478438,0.00233135133436523,-0.0276466472028507,0.0312790795076452,0.0308195253136678,0.000989670083259663,-0.0272857519387636,0.040319902697059,0.0411327764214969,0.00173232134919363
"4",-0.0895217810009522,0.0340568022408027,0.0343952788095628,0.00148311426907288,-0.0330586356144824,0.0166334874419775,0.0164181553039267,0.000277423527142644,-0.0478843788956895,0.0341790438644139,0.0351952868910016,0.00117987776524417
"5",-0.0477616698616863,0.0293695012321776,0.0291649195975649,0.000941406003883149,0.0124416231912784,0.0258098984485815,0.0253584066737913,0.000740502637917994,0.090198718727185,0.0487881859635088,0.0481728060765025,0.00251794889393277
"6",-0.0369330019315245,0.0230558076680569,0.0237663051533549,0.000552795956837409,0.0094218048141096,0.0221283708824795,0.0209997568926167,0.000472528985823786,-0.0512346352398028,0.0366196563891841,0.032778598502256,0.00182487473683886
"7",0.00897590723455434,0.0284152952505306,0.0309988180254702,0.000822338825902427,-0.0345563086692991,0.0233673850939951,0.0233436562717359,0.000598136596653808,-0.0155618383272994,0.0439291620481939,0.0423716401206366,0.00208789439757863
"8",-0.00761479914043447,0.0226679654420202,0.0238599878919964,0.000560823151576807,0.0144612904894037,0.0215043431970499,0.0218542117441604,0.000458499131901234,-0.0453727875715576,0.0319688876869692,0.0331674858253226,0.00105969557286303
"9",-0.0254827269642078,0.0208297048654467,0.0207734922457555,0.000418480477917326,-0.021239162767285,0.0192509664058305,0.0191862720268482,0.000391369725132386,0.00232940450322886,0.0334888823621605,0.0343368842541016,0.00116513470135388
"10",0.014297687338222,0.0387858152799589,0.0357221974641914,0.00161602213047428,-0.0145971041807756,0.0205045167829898,0.0203861577776909,0.000436227700561089,-0.0361908006158172,0.0336053107965743,0.0342904905835055,0.00111485107458503
